Rank,Company_Name,Headquarters,Sectors,Total_Dataset_Score,Policy_Governance_Score,Transparency_Score,History_Modifier,Record_Count,Years_Tracked,Positive_Effect_Ratio,Has_Modern_Slavery_Policy,Has_Director_Signoff,Has_Board_Oversight,Has_Detailed_Disclosure,Assessment_Date
86,AXA Investment Managers UK Limited,GB,Finance & banking,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
87,Texas Instruments,US,"Technology: Electronics, Internet and telecom providers",32,25,7,1.1,3,3,0.667,True,True,False,False,2025-07-01
88,Teva UK Limited,GB,Pharmaceutical,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
89,The Brandon Trust,GB,Charity/Non-Profit,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
90,Evraz,GB,Mining,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
91,Evonik,DE,Chemical: General,32,25,7,1.1,4,3,0.75,True,True,True,False,2025-07-01
92,Experian,IE,"Auditing, consulting & accounting",32,25,7,1.2,7,4,1.0,True,True,True,False,2025-07-01
93,Genpact (Uk) Limited,BM,Technology: Other,32,25,7,1.2,4,3,1.0,True,True,True,False,2025-07-01
94,Genesis Asset Managers LLP,GB,Finance & banking,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
95,Getinge AB,SE,Health and social care,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
96,Gerald Eve LLP,GB,Real estate: General,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
97,Geometric Results International Limited,GB,Services: General,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
98,Gilead Sciences,US,Pharmaceutical,32,25,7,1.1,3,3,0.667,True,True,True,False,2025-07-01
99,Ted Baker,GB,Clothing & textile,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
100,TechnipFMC plc,GB,Energy,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
101,easyJet,GB,Aircraft/Airline,32,25,7,1.2,4,3,1.0,True,True,True,False,2025-07-01
102,dnata Limited,AE,Services: General,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
103,discoverIE Group plc,GB,"Technology: Electronics, Internet and telecom providers",32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
104,Temenos Group AG,CH,Finance & banking,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
105,Telstra,AU,"Technology: Electronics, Internet and telecom providers",32,25,7,1.2,4,4,1.0,True,True,True,False,2025-07-01
106,Telford Homes plc,GB,Household products,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
107,Tesco,GB,Supermarkets & grocery,32,25,7,1.2,7,4,1.0,True,True,True,False,2025-07-01
108,GlaxoSmithKline,GB,Pharmaceutical,32,25,7,1.1,4,4,0.75,True,True,True,False,2025-07-01
109,Euromonitor International Ltd,GB,Media & publishing: General,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
110,Euromoney Institutional Investor PLC,GB,Media & publishing: General,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
111,EuroCaps Limited,GB,Food & beverage,32,25,7,1.2,4,4,1.0,True,True,True,False,2025-07-01
112,Euro Packaging UK Ltd,GB,Packaging,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
113,Everton Football Club Company Limited,GB,Media & publishing: General,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
114,Eversheds Sutherland (International) LLP,GB,Services: General,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
115,Glasgow Caledonian University,GB,Services: General,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
116,Givaudan,CH,Perfume,32,25,7,1.1,3,3,0.667,True,True,True,False,2025-07-01
117,Technetix Group Limited,GB,"Technology: Electronics, Internet and telecom providers",32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
118,bpha Limited,GB,Charity/Non-Profit,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
119,bp,GB,"Hydrogen;Oil, gas & coal",32,25,7,1.2,6,4,0.833,True,True,True,False,2025-07-01
120,Abcam plc,GB,Biotechnology,32,25,7,1.2,4,3,1.0,True,True,True,False,2025-07-01
121,Abbott Laboratories,US,Pharmaceutical,32,25,7,1.1,3,3,0.667,True,True,False,False,2025-07-01
122,AbbVie,US,Pharmaceutical,32,25,7,1.1,4,3,0.75,True,True,False,False,2025-07-01
123,Telefónica,ES,"Technology: Electronics, Internet and telecom providers",32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
124,Telecom Plus Plc,GB,Utilities: General,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
125,Glory Global Solutions (International) Limited,GB,"Technology: Electronics, Internet and telecom providers",32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
126,Globus (Shetland) Limited,GB,Clothing & textile,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
127,Euro Garages Limited,GB,"Oil, gas & coal",32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
128,Euro Food Brands Limited,GB,Food & beverage,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
129,Gold Medal Travel Group Limited,GB,Tourism,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
130,Go-Ahead Group plc,GB,Transport: General,32,25,7,1.2,4,4,1.0,True,True,True,False,2025-07-01
131,Accolade Wines Limited,GB,Food & beverage,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
132,Accesso Technology Group Plc,GB,"Technology: Electronics, Internet and telecom providers",32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
133,Accenture,IE,"Auditing, consulting & accounting",32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
134,Accent Group Limited,GB,Charity/Non-Profit,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
135,Academia Ltd,GB,"Technology: Electronics, Internet and telecom providers",32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
136,Aberystwyth University,GB,Services: General,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
137,Taylors of Harrogate (part of Bettys & Taylors Group),GB,Coffee;Tea,32,25,7,1.2,4,4,1.0,True,True,True,False,2025-07-01
138,Taylor Wimpey,GB,Construction,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
139,Tate & Lyle Sugars (part of American Sugar Refining),GB,Sugar,32,25,7,1.2,4,3,1.0,True,True,True,False,2025-07-01
140,Tata Steel Europe Limited,GB,Metals & steel;Mining,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
141,Tata Group,IN,Diversified/Conglomerates,32,25,7,1.2,5,4,1.0,True,True,True,False,2025-07-01
142,Tata Global Beverages GB Limited,GB,Food & beverage,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
143,Essentra plc,GB,Chemical: General,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
144,Esri UK,GB,"Technology: Electronics, Internet and telecom providers",32,25,7,1.2,4,4,1.0,True,True,True,False,2025-07-01
145,Voyage,US,"Technology: Electronics, Internet and telecom providers",32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
146,Volvo Group,SE,Automobile & other motor vehicles,32,25,7,1.2,6,4,1.0,True,True,True,False,2025-07-01
147,Acturis Group Limited,GB,Technology: Other,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
148,Activision Blizzard Inc.,US,Entertainment,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
149,Taskmaster Resources Ltd,GB,Services: General,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
